Category;Date inscribed;ID;Image URL;Code ISO;Location;Region;Short Description;Site;States;;;;
Cultural;1994;634;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/0f08580c26771e450a4dc64ba49b23ed;ru;Moscow, the South District;Europe and North America;The Church of the Ascension was built in 1532 on the imperial estate of Kolomenskoye, near Moscow, to celebrate the birth of the prince who was to become Tsar Ivan IV ('the Terrible'). One of the earliest examples of a traditional wooden tent-roofed church on a stone and brick substructure, it had a great influence on the development of Russian ecclesiastical architecture.;Church of the Ascension, Kolomenskoye;Russian Federation;;;;
Cultural;2017;1525;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/dce0e513b73c78b6a85312eb7e983039;ru;;Europe and North America;The Assumption Cathedral is located in the town-island of Sviyazhsk and is part of the monastery of the same name. Situated at the confluence of the Volga, the Sviyaga and the Shchuka rivers, at the crossroads of the Silk and Volga routes, Sviyazhsk was founded by Ivan the Terrible in 1551. It was from this outpost that he initiated the conquest of the Kazan Khanate. The Assumption Monastery illustrates in its location and architectural composition the political and missionary programme developed by Tsar Ivan IV to extend the Moscow state. The cathedral’s frescoes are among the rarest examples of Eastern Orthodox mural paintings.;Assumption Cathedral and Monastery of the town-island of Sviyazhsk;Russian Federation;;;;
Natural;2001;766;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/942152c6787a0a64879402fdfb549e28;ru;;Europe and North America;The Sikhote-Alin mountain range contains one of the richest and most unusual temperate forests of the world. In this mixed zone between taiga and subtropics, southern species such as the tiger and Himalayan bear cohabit with northern species such as the brown bear and lynx. After its extension in 2018, the property includes the Bikin River Valley, located about 100 km to the north of the existing site. It encompasses the South-Okhotsk dark coniferous forests and the East-Asian coniferous broadleaf forests. The fauna includes species of the taiga alongside southern Manchurian species. It includes notable mammals such as the Amur Tiger, Siberian Musk Deer, Wolverine and Sable.;Central Sikhote-Alin;Russian Federation;;;;
Natural;1998;854;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/705c7698b8b0372bc2173da36d78f94b;sb;Southernmost of the Solomon Islands, Rennell and Bellona Province;Asia and the Pacific;East Rennell makes up the southern third of Rennell Island, the southernmost island in the Solomon Island group in the western Pacific. Rennell, 86 km long x 15 km wide, is the largest raised coral atoll in the world. The site includes approximately 37,000 ha and a marine area extending 3 nautical miles to sea. A major feature of the island is Lake Tegano, which was the former lagoon on the atoll. The lake, the largest in the insular Pacific (15,500 ha), is brackish and contains many rugged limestone islands and endemic species. Rennell is mostly covered with dense forest, with a canopy averaging 20 m in height. Combined with the strong climatic effects of frequent cyclones, the site is a true natural laboratory for scientific study. The site is under customary land ownership and management.;East Rennell;Solomon Islands;;;;
Cultural;1999;916;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/419ac22b27f89a326eb3e821a94cd712;za;Western Cape Province;Africa;Robben Island was used at various times between the 17th and 20th centuries as a prison, a hospital for socially unacceptable groups and a military base. Its buildings, particularly those of the late 20th century such as the maximum security prison for political prisoners, witness the triumph of democracy and freedom over oppression and racism.;Robben Island;South Africa;;;;
Cultural;2003;1099;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/c2f64da5805c5126a5177846f0e3e52f;za;Northern Province;Africa;Mapungubwe is set hard against the northern border of South Africa, joining Zimbabwe and Botswana. It is an open, expansive savannah landscape at the confluence of the Limpopo and Shashe rivers. Mapungubwe developed into the largest kingdom in the sub-continent before it was abandoned in the 14th century. What survives are the almost untouched remains of the palace sites and also the entire settlement area dependent upon them, as well as two earlier capital sites, the whole presenting an unrivalled picture of the development of social and political structures over some 400 years.;Mapungubwe Cultural Landscape;South Africa;;;;
Cultural;1984;314;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/9cf243e9fa6b0b572f0a4028e7a8fba7;es;Province of Granada, Autonomous Community of Andalusia;Europe and North America;Rising above the modern lower town, the Alhambra and the Albaycín, situated on two adjacent hills, form the medieval part of Granada. To the east of the Alhambra fortress and residence are the magnificent gardens of the Generalife, the former rural residence of the emirs who ruled this part of Spain in the 13th and 14th centuries. The residential district of the Albaycín is a rich repository of Moorish vernacular architecture, into which the traditional Andalusian architecture blends harmoniously.;Alhambra, Generalife and Albayzín, Granada;Spain;;;;
Cultural;2001;1044;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/8e3f1d215f0ce26225bfb0ff675c8115;es;Province and Autonomous Community of Madrid;Europe and North America;The Aranjuez cultural landscape is an entity of complex relationships: between nature and human activity, between sinuous watercourses and geometric landscape design, between the rural and the urban, between forest landscape and the delicately modulated architecture of its palatial buildings. Three hundred years of royal attention to the development and care of this landscape have seen it express an evolution of concepts from humanism and political centralization, to characteristics such as those found in its 18th century French-style Baroque garden, to the urban lifestyle which developed alongside the sciences of plant acclimatization and stock-breeding during the Age of Enlightenment.;Aranjuez Cultural Landscape;Spain;;;;
Cultural;1985;311;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/8e9ef382f98cc5c50bef317e322b3bc9;es;Province of Segovia, Autonomous Community of Castile-Leon;Europe and North America;The Roman aqueduct of Segovia, probably built c. A.D. 50, is remarkably well preserved. This impressive construction, with its two tiers of arches, forms part of the setting of the magnificent historic city of Segovia. Other important monuments include the Alcázar, begun around the 11th century, and the 16th-century Gothic cathedral.;Old Town of Segovia and its Aqueduct;Spain;;;;
Cultural;2012;1282;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/9e39e5b98e976f958b25f9437d094232;se;;Europe and North America;Seven timber houses are listed in this site located in the east of Sweden, representing the zenith of a regional timber building tradition that dates back to the Middle Ages. They reflect the prosperity of independent farmers who in the 19th century used their wealth to build substantial new homes with elaborately decorated ancillary houses or suites of rooms reserved for festivities. The paintings represent a fusion of folk art with the styles favoured by the landed gentry of the time, including Baroque and Rococo. Decorated by painters, including known and unknown itinerant artists, the listed properties represent the final flowering of a long cultural tradition.;Decorated Farmhouses of Hälsingland;Sweden;;;;
Cultural;1983;267;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/ea97f4296c6e3cc657b98e7cd5c70eeb;ch;Canton of Berne;Europe and North America;Founded in the 12th century on a hill site surrounded by the Aare River, Berne developed over the centuries in line with a an exceptionally coherent planning concept. The buildings in the Old City, dating from a variety of periods, include 15th-century arcades and 16th-century fountains. Most of the medieval town was restored in the 18th century but it has retained its original character.;Old City of Berne;Switzerland;;;;
Cultural;1983;268;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/8ae3ba277b8e13f78b5b859ef6f18d50;ch;Canton of St Gall, Town of St Gall;Europe and North America;The Convent of St Gall, a perfect example of a great Carolingian monastery, was, from the 8th century to its secularization in 1805, one of the most important in Europe. Its library is one of the richest and oldest in the world and contains precious manuscripts such as the earliest-known architectural plan drawn on parchment. From 1755 to 1768, the conventual area was rebuilt in Baroque style. The cathedral and the library are the main features of this remarkable architectural complex, reflecting 12 centuries of continuous activity.;Abbey of St Gall;Switzerland;;;;
Cultural;1983;275;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/8b7abd20bd95e0279837fbe1db215903;ar,br; State of Rio Grande do Sul, Brazil; Province of Misiones, Argentina ;Latin America and the Caribbean;The ruins of São Miguel das Missões in Brazil, and those of San Ignacio Miní, Santa Ana, Nuestra Señora de Loreto and Santa María la Mayor in Argentina, lie at the heart of a tropical forest. They are the impressive remains of five Jesuit missions, built in the land of the Guaranis during the 17th and 18th centuries. Each is characterized by a specific layout and a different state of conservation.;Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil);Argentina,Brazil;;;
Cultural;2017;1533;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/c6165bd68a2d8a2dbc27ea1ae41472c3;hr,it,me;;Europe and North America;This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.;Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar;Croatia,Italy,Montenegro;;;;
Mixed;1979;99;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/f4053f7af089204c17aac668477b7435;al,mk;Ohrid (municipality);Europe and North America;A superlative natural phenomenon, Lake Ohrid provides a refuge for numerous endemic species of freshwater fauna and flora dating from the Tertiary period. Situated on the shores of the lake, the town of Ohrid is one of the oldest human settlements in Europe. Built mainly between the 7th and 19th centuries, it has the oldest Slav monastery (St Pantelejmon) and more than 800 Byzantine-style icons dating from the 11th to the end of the 14th century. In the shallow waters near the shores of the lake, three sites testify to the presence of prehistoric pile dwellings, and the small Lin Peninsula is the site of the remains of an Early Christian church founded in the middle of the 6th century.;Natural and Cultural Heritage of the Ohrid region;Albania,North Macedonia;;;;
Cultural;1987;430;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e9feff170a1d17a5f7e755d7c5f09f0b;de,gb;;Europe and North America;The ‘Roman Limes’ represents the border line of the Roman Empire at its greatest extent in the 2nd century AD. It stretched over 5,000 km from the Atlantic coast of northern Britain, through Europe to the Black Sea, and from there to the Red Sea and across North Africa to the Atlantic coast. The remains of the Limes today consist of vestiges of built walls, ditches, forts, fortresses, watchtowers and civilian settlements. Certain elements of the line have been excavated, some reconstructed and a few destroyed. The two sections of the Limes in Germany cover a length of 550 km from the north-west of the country to the Danube in the south-east. The 118-km-long Hadrian’s Wall (UK) was built on the orders of the Emperor Hadrian c. AD 122 at the northernmost limits of the Roman province of Britannia. It is a striking example of the organization of a military zone and illustrates the defensive techniques and geopolitical strategies of ancient Rome. The Antonine Wall, a 60-km long fortification in Scotland was started by Emperor Antonius Pius in 142 AD as a defense against the “barbarians” of the north. It constitutes the northwestern-most portion of the Roman Limes.;Frontiers of the Roman Empire;Germany,United Kingdom of Great Britain and Northern Ireland;;;;
Cultural;1992;565;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/c8a9152bd0963a1c7b08daee56d0fb68;dz;City and Wilaya (province) of Algiers;Arab States;The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.;Kasbah of Algiers;Algeria;;;;
Natural;1981;145;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/19ceb0511243ca9c2f370e1f85d837b3;ar;Santa Cruz;Latin America and the Caribbean;The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.;Los Glaciares National Park;Argentina;;;;
Cultural;2008;1276;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/59485e4e2b42a7ee46a87bdf2748f66d;it,ch;;Europe and North America;Rhaetian Railway in the Albula / Bernina Landscapes, brings together two historic railway lines that cross the Swiss Alps through two passes. Opened in 1904, the Albula line in the north western part of the property is 67 km long. It features an impressive set of structures including 42 tunnels and covered galleries and 144 viaducts and bridges. The 61 km Bernina pass line features 13 tunnels and galleries and 52 viaducts and bridges. The property is exemplary of the use of the railway to overcome the isolation of settlements in the Central Alps early in the 20th century, with a major and lasting socio-economic impact on life in the mountains. It constitutes an outstanding technical, architectural and environmental ensemble and embodies architectural and civil engineering achievements, in harmony with the landscapes through which they pass.;Rhaetian Railway in the Albula / Bernina Landscapes;Italy,Switzerland;;;;
Natural;2011;1369;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/a2b40c521f7c88ea7e5b8139a5ad9c3f;au;;Asia and the Pacific;The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site;Ningaloo Coast;Australia;;;;
Cultural;1996;784;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/553281aa3b25ba4df929c5814c4782a2;at;Salzburg;Europe and North America;Salzburg has managed to preserve an extraordinarily rich urban fabric, developed over the period from the Middle Ages to the 19th century when it was a city-state ruled by a prince-archbishop. Its Flamboyant Gothic art attracted many craftsmen and artists before the city became even better known through the work of the Italian architects Vincenzo Scamozzi and Santini Solari, to whom the centre of Salzburg owes much of its Baroque appearance. This meeting-point of northern and southern Europe perhaps sparked the genius of Salzburg’s most famous son, Wolfgang Amadeus Mozart, whose name has been associated with the city ever since.;Historic Centre of the City of Salzburg;Austria;;;;
Cultural;2005;1196;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/3bd108761a496b33a7336f777dbd2557;by;Minsk Province (Minskaya Voblasts');Europe and North America;The Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh is located in central Belarus. The Radziwill dynasty, who built and kept the ensemble from the 16th century until 1939, gave birth to some of the most important personalities in European history and culture. Due to their efforts, the town of Nesvizh came to exercise great influence in the sciences, arts, crafts and architecture. The complex consists of the residential castle and the mausoleum Church of Corpus Christi with their setting. The castle has ten interconnected buildings, which developed as an architectural whole around a six-sided courtyard. The palaces and church became important prototypes marking the development of architecture throughout Central Europe and Russia.;Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh;Belarus;;;;
Cultural;2019;1610;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/32c9a656743f8049ccf21780c196e893;id;;Asia and the Pacific;Built for the extraction, processing and transport of high-quality coal in an inaccessible region of Sumatra, this industrial site was developed by the Netherlands East Indies’ government in the globally important period of industrialisation from the late 19th to the beginning of the 20th century. The workforce was recruited from the local Minangkabau people and supplemented by Javanese and Chinese contract workers, and convict labourers from Dutch-controlled areas. It comprises the mining site and company town, coal storage facilities at the port of Emmahaven and the railway network linking the mines to the coastal facilities. The Ombilin Coal Mining Heritage was built as an integrated system that enabled the efficient deep-bore extraction, processing, transport and shipment of coal. It is also an outstanding testimony of exchange and fusion between local knowledge and practices and European technology.;Ombilin Coal Mining Heritage of Sawahlunto;Indonesia;;;;
Cultural;2004;1208;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/583bccd0a6318bda4fd85af256bedb19;ir;Kerman Province, Bam District;Asia and the Pacific;Bam is situated in a desert environment on the southern edge of the Iranian high plateau. The origins of Bam can be traced back to the Achaemenid period (6th to 4th centuries BC). Its heyday was from the 7th to 11th centuries, being at the crossroads of important trade routes and known for the production of silk and cotton garments. The existence of life in the oasis was based on the underground irrigation canals, the qanāts, of which Bam has preserved some of the earliest evidence in Iran. Arg-e Bam is the most representative example of a fortified medieval town built in vernacular technique using mud layers (Chineh ).;Bam and its Cultural Landscape;Iran (Islamic Republic of);;;;
Natural;2019;1584;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e27ad9827f779487d276aa8843c72245;ir;;Asia and the Pacific;Hyrcanian forests form a unique forested massif that stretches 850 km along the southern coast of the Caspian Sea. The history of these broad-leaved forests dates back 25 to 50 million years, when they covered most of this Northern Temperate region. These ancient forest areas retreated during the Quaternary glaciations and then expanded again as the climate became milder. Their floristic biodiversity is remarkable: 44% of the vascular plants known in Iran are found in the Hyrcanian region, which only covers 7% of the country. To date, 180 species of birds typical of broad-leaved temperate forests and 58 mammal species have been recorded, including the iconic Persian Leopard (Panthera pardus tulliana).;Hyrcanian Forests;Iran (Islamic Republic of);;;;
Cultural;1996;398;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/d710c609dec37cf31d338c97286ea141;it;Communes of Andria and Corato, Province of Bari, Puglia Region;Europe and North America;When the Emperor Frederick II built this castle near Bari in the 13th century, he imbued it with symbolic significance, as reflected in the location, the mathematical and astronomical precision of the layout and the perfectly regular shape. A unique piece of medieval military architecture, Castel del Monte is a successful blend of elements from classical antiquity, the Islamic Orient and north European Cistercian Gothic.;Castel del Monte;Italy;;;;
Cultural;1998;828;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/831887cdba5168d9ff09fe6d34062536;it;Province of Pesaro, Marche Region;Europe and North America;The small hill town of Urbino, in the Marche, experienced a great cultural flowering in the 15th century, attracting artists and scholars from all over Italy and beyond, and influencing cultural developments elsewhere in Europe. Owing to its economic and cultural stagnation from the 16th century onwards, it has preserved its Renaissance appearance to a remarkable extent.;Historic Centre of Urbino;Italy;;;;
Cultural;1999;907;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/62afd8ee01d9ab9d97b1c9f4eaeb939b;it;Province of Rome, Region of Latium;Europe and North America;The Villa Adriana (at Tivoli, near Rome) is an exceptional complex of classical buildings created in the 2nd century A.D. by the Roman emperor Hadrian. It combines the best elements of the architectural heritage of Egypt, Greece and Rome in the form of an 'ideal city'.;Villa Adriana (Tivoli);Italy;;;;
Cultural;2000;990;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/a689edcb1a3baee900a49533fb3985da;it;;Europe and North America;Assisi, a medieval city built on a hill, is the birthplace of Saint Francis, closely associated with the work of the Franciscan Order. Its medieval art masterpieces, such as the Basilica of San Francesco and paintings by Cimabue, Pietro Lorenzetti, Simone Martini and Giotto, have made Assisi a fundamental reference point for the development of Italian and European art and architecture.;Assisi, the Basilica of San Francesco and Other Franciscan Sites;Italy;;;;
Cultural;1995;726;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/3a09a1754a33a04e285a962bf9e82612;it;City and Province of Naples, Campania;Europe and North America;From the Neapolis founded by Greek settlers in 470 B.C. to the city of today, Naples has retained the imprint of the successive cultures that emerged in Europe and the Mediterranean basin. This makes it a unique site, with a wealth of outstanding monuments such as the Church of Santa Chiara and the Castel Nuovo.;Historic Centre of Naples;Italy;;;;
Cultural;2014;1390;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/72594b160ce8cb6d4ae2b437d68d8bbb;it;;Europe and North America; This landscape covers five distinct wine-growing areas with outstanding landscapes and the Castle of Cavour, an emblematic name both in the development of vineyards and in Italian history. It is located in the southern part of Piedmont, between the Po River and the Ligurian Apennines, and encompasses the whole range of technical and economic processes relating to the winegrowing and winemaking that has characterized the region for centuries. Vine pollen has been found in the area dating from the 5th century BC, when Piedmont was a place of contact and trade between the Etruscans and the Celts; Etruscan and Celtic words, particularly wine-related ones, are still found in the local dialect. During the Roman Empire, Pliny the Elder mentions the Piedmont region as being one of the most favourable for growing vines in ancient Italy; Strabo mentions its barrels. ;Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato;Italy;;
Cultural;2019;1571;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/1ca3e55de1cc449d8b2aa9bc8b9c9ff0;it;;Europe and North America;Located in north-eastern Italy, the property includes part of the winegrowing landscape of the Prosecco wine production area. The landscape is characterized by ‘hogback’ hills, ciglioni – small plots of vines on narrow grassy terraces – forests, small villages and farmland. For centuries, this rugged terrain has been shaped and adapted by man. Since the 17th century, the use of ciglioni has created a particular chequerboard landscape consisting of rows of vines parallel and vertical to the slopes. In the 19th century, the bellussera technique of training the vines contributed to the aesthetic characteristics of the landscape.;Le Colline del Prosecco di Conegliano e Valdobbiadene;Italy;;;;
Natural;2011;1362;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/57fd8d3ffd160dda6a4b82dda4921f6c;jp;;Asia and the Pacific;The property numbers more than 30 islands clustered in three groups and covers surface area of 7,939 hectares. The islands offer a variety of landscapes and are home to a wealth of fauna, including the Bonin Flying Fox, a critically endangered bat, and 195 endangered bird species. Four-hundred and forty-one native plant taxa have been documented on the islands whose waters support numerous species of fish, cetaceans and corals. Ogasawara Islands' ecosystems reflect a range of evolutionary processes illustrated through its assemblage of plant species from both southeast and northwest Asia, alongside many endemic species.;Ogasawara Islands;Japan;;;;
Cultural;2011;1277;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/0906e2dde29498a7882f0b06bf1d171e;jp;;Asia and the Pacific;Hiraizumi - Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land comprises five sites, including the sacred Mount Kinkeisan. It features vestiges of government offices dating from the 11th and 12th centuries when Hiraizumi was the administrative centre of the northern realm of Japan and rivalled Kyoto. The realm was based on the cosmology of Pure Land Buddhism, which spread to Japan in the 8th century. It represented the pure land of Buddha that people aspire to after death, as well as peace of mind in this life. In combination with indigenous Japanese nature worship and Shintoism, Pure Land Buddhism developed a concept of planning and garden design that was unique to Japan.;Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land;Japan;;;;
Cultural;2004;1093;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/298b1230a88f538057ab7fa3375fff3b;jo;Madaba Governorate;Arab States;Most of this archaeological site, which started as a Roman military camp and grew to become a town from the 5th century, has not been excavated. It contains remains from the Roman, Byzantine and Early Muslim periods (end of 3rd to 9th centuries AD) and a fortified Roman military camp. The site also has 16 churches, some with well-preserved mosaic floors. Particularly noteworthy is the mosaic floor of the Church of Saint Stephen with its representation of towns in the region. Two square towers are probably the only remains of the practice, well known in this part of the world, of the stylites (ascetic monks who spent time in isolation atop a column or tower). Um er-Rasas is surrounded by, and dotted with, remains of ancient agricultural cultivation in an arid area.;Um er-Rasas (Kastrom Mefa'a);Jordan;;;;
Natural;2010;1325;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e93db66445147cfe625ae7a50603b5c1;ki;;Asia and the Pacific;The Phoenix Island Protected Area (PIPA) is a 408,250 sq.km expanse of marine and terrestrial habitats in the Southern Pacific Ocean. The property encompasses the Phoenix Island Group, one of three island groups in Kiribati, and is the largest designated Marine Protected Area in the world. PIPA conserves one of the world's largest intact oceanic coral archipelago ecosystems, together with 14 known underwater sea mounts (presumed to be extinct volcanoes) and other deep-sea habitats. The area contains approximately 800 known species of fauna, including about 200 coral species, 500 fish species, 18 marine mammals and 44 bird species. The structure and functioning of PIPA's ecosystems illustrates its pristine nature and importance as a migration route and reservoir. This is the first site in Kiribati to be inscribed on the World Heritage List.;Phoenix Islands Protected Area;Kiribati;;;;
Cultural;1994;541;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/a14973b387dcd119bf8c9f777f255adc;lt;City of Vilnius;Europe and North America;Political centre of the Grand Duchy of Lithuania from the 13th to the end of the 18th century, Vilnius has had a profound influence on the cultural and architectural development of much of eastern Europe. Despite invasions and partial destruction, it has preserved an impressive complex of Gothic, Renaissance, Baroque and classical buildings as well as its medieval layout and natural setting.;Vilnius Historic Centre;Lithuania;;;;
Cultural;2010;1352;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/5e3b8d9edde17dab0562a5eb73e86eee;mx;;Latin America and the Caribbean;This property lies on the northern slopes of the Tlacolula valley in subtropical central Oaxaca and consists of two pre-Hispanic archaeological complexes and a series of pre-historic caves and rock shelters. Some of these shelters provide archaeological and rock-art evidence for the progress of nomadic hunter-gathers to incipient farmers. Ten thousand-year-old Cucurbitaceae seeds in one cave, Guilá Naquitz, are considered to be the earliest known evidence of domesticated plants in the continent, while corn cob fragments from the same cave are said to be the earliest documented evidence for the domestication of maize. The cultural landscape of the Prehistoric Caves of Yagul and Mitla demonstrates the link between man and nature that gave origin to the domestication of plants in North America, thus allowing the rise of Mesoamerican civilizations.;Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca;Mexico;;;;
Cultural;2004;1081;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/729d70ee312c80e1a63cac797be64720;mn;Orkhon-Kharkorin Region;Asia and the Pacific;The 121,967-ha Orkhon Valley Cultural Landscape encompasses an extensive area of pastureland on both banks of the Orkhon River and includes numerous archaeological remains dating back to the 6th century. The site also includes Kharkhorum, the 13th- and 14th-century capital of Chingis (Genghis) Khan’s vast Empire. Collectively the remains in the site reflect the symbiotic links between nomadic, pastoral societies and their administrative and religious centres, and the importance of the Orkhon valley in the history of central Asia. The grassland is still grazed by Mongolian nomadic pastoralists.;Orkhon Valley Cultural Landscape;Mongolia;;;;
Cultural;1997;837;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/d9cb2e4f98b0ad21bf84e4e3345ccd28;ma;Region Nord-Ouest, Wilaya de Tétouan, Province of Tétouan, Medina of Tétouan;Arab States;Tétouan was of particular importance in the Islamic period, from the 8th century onwards, since it served as the main point of contact between Morocco and Andalusia. After the Reconquest, the town was rebuilt by Andalusian refugees who had been expelled by the Spanish. This is well illustrated by its art and architecture, which reveal clear Andalusian influence. Although one of the smallest of the Moroccan medinas, Tétouan is unquestionably the most complete and it has been largely untouched by subsequent outside influences.;Medina of Tétouan (formerly known as Titawin);Morocco;;;;
Cultural;1979;59;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/c16a38821a476f77ffc840b5ab8b0d44;no;City of Bergen, County of Hordaland;Europe and North America;Bryggen, the old wharf of Bergen, is a reminder of the town’s importance as part of the Hanseatic League’s trading empire from the 14th to the mid-16th century. Many fires, the last in 1955, have ravaged the characteristic wooden houses of Bryggen. Its rebuilding has traditionally followed old patterns and methods, thus leaving its main structure preserved, which is a relic of an ancient wooden urban structure once common in Northern Europe. Today, some 62 buildings remain of this former townscape.;Bryggen;Norway;;;;
Cultural;2004;1143;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/52b5c22c1905181264cf7387ffc95c5f;no;Nordland, Vega;Europe and North America;A cluster of dozens of islands centred on Vega, just south of the Arctic Circle, forms a cultural landscape of 107,294 ha, of which 6,881 ha is land. The islands bear testimony to a distinctive frugal way of life based on fishing and the harvesting of the down of eider ducks, in an inhospitable environment. There are fishing villages, quays, warehouses, eider houses (built for eider ducks to nest in), farming landscapes, lighthouses and beacons. There is evidence of human settlement from the Stone Age onwards. By the 9th century, the islands had become an important centre for the supply of down, which appears to have accounted for around a third of the islanders’ income. The Vega Archipelago reflects the way fishermen/farmers have, over the past 1,500 years, maintained a sustainable living and the contribution of women to eiderdown harvesting.;Vegaøyan – The Vega Archipelago;Norway;;;;
Cultural;1995;722;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/a3a860ab5d8c5769c20e962463844e39;ph;Ifugao Province, Cordillera Region, Luzon Island;Asia and the Pacific;For 2,000 years, the high rice fields of the Ifugao have followed the contours of the mountains. The fruit of knowledge handed down from one generation to the next, and the expression of sacred traditions and a delicate social balance, they have helped to create a landscape of great beauty that expresses the harmony between humankind and the environment.;Rice Terraces of the Philippine Cordilleras;Philippines;;;;
